image_name,ball_id,center_x,center_y,diameter_px,ball_area_px,void_count,total_void_area_px,largest_void_area_px,void_ratio_percent,largest_void_ratio_percent,quality,is_estimated_pad,confidence,largest_void_diameter_percent,ipc_assessment
PCBA2_05.jpg,1,1265,112,104,8494.87,7,535,113,6.2979,1.3302,PASS,False,1.0,11.53,ACCEPTABLE
PCBA2_05.jpg,2,1111,117,102,8171.28,7,253,55,3.0962,0.6731,PASS,False,1.0,8.2,ACCEPTABLE
PCBA2_05.jpg,3,961,118,104,8494.87,11,724,211,8.5228,2.4839,PASS,False,1.0,15.76,ACCEPTABLE
PCBA2_05.jpg,4,810,119,104,8494.87,11,609,127,7.169,1.495,PASS,False,1.0,12.23,ACCEPTABLE
PCBA2_05.jpg,5,660,121,106,8824.73,5,249,113,2.8216,1.2805,PASS,False,1.0,11.32,ACCEPTABLE
PCBA2_05.jpg,6,2621,121,90,6361.73,2,162,149,2.5465,2.3421,PASS,False,1.0,15.3,ACCEPTABLE
PCBA2_05.jpg,7,1416,122,96,7238.23,11,891,253,12.3096,3.4953,REVIEW,False,1.0,18.7,PROCESS INDICATOR
PCBA2_05.jpg,8,353,123,116,10568.32,8,839,298,7.9388,2.8197,PASS,False,1.0,16.79,ACCEPTABLE
PCBA2_05.jpg,9,510,123,110,9503.32,2,187,138,1.9677,1.4521,PASS,False,1.0,12.05,ACCEPTABLE
PCBA2_05.jpg,10,2017,123,90,6361.73,7,783,253,12.308,3.9769,REVIEW,False,1.0,19.94,PROCESS INDICATOR
PCBA2_05.jpg,11,1716,124,90,6361.73,5,405,197,6.3662,3.0966,PASS,False,1.0,17.6,ACCEPTABLE
PCBA2_05.jpg,12,1866,124,90,6361.73,4,516,377,8.111,5.9261,PASS,False,1.0,24.34,ACCEPTABLE
PCBA2_05.jpg,13,2170,124,94,6939.78,6,438,149,6.3114,2.147,PASS,False,1.0,14.65,ACCEPTABLE
PCBA2_05.jpg,14,2323,124,94,6939.78,7,495,197,7.1328,2.8387,PASS,False,1.0,16.85,ACCEPTABLE
PCBA2_05.jpg,15,2474,124,94,6939.78,4,156,49,2.2479,0.7061,PASS,False,1.0,8.4,ACCEPTABLE
PCBA2_05.jpg,16,1565,125,92,6647.61,6,706,253,10.6204,3.8059,REVIEW,False,1.0,19.51,PROCESS INDICATOR
PCBA2_05.jpg,17,1719,270,92,6647.61,5,311,143,4.6784,2.1511,PASS,False,1.0,14.67,ACCEPTABLE
PCBA2_05.jpg,18,662,275,100,7853.98,5,239,87,3.043,1.1077,PASS,False,1.0,10.52,ACCEPTABLE
PCBA2_05.jpg,19,813,275,98,7542.96,2,226,197,2.9962,2.6117,PASS,False,1.0,16.16,ACCEPTABLE
PCBA2_05.jpg,20,964,275,98,7542.96,4,604,426,8.0075,5.6476,PASS,False,1.0,23.76,ACCEPTABLE
PCBA2_05.jpg,21,1116,275,98,7542.96,9,444,113,5.8863,1.4981,PASS,False,1.0,12.24,ACCEPTABLE
PCBA2_05.jpg,22,1265,275,94,6939.78,13,506,109,7.2913,1.5707,PASS,False,1.0,12.53,ACCEPTABLE
PCBA2_05.jpg,23,1419,275,94,6939.78,11,583,149,8.4008,2.147,PASS,False,1.0,14.65,ACCEPTABLE
PCBA2_05.jpg,24,1867,275,90,6361.73,3,568,490,8.9284,7.7023,PASS,False,1.0,27.75,ACCEPTABLE
PCBA2_05.jpg,25,2020,275,94,6939.78,3,211,81,3.0404,1.1672,PASS,False,1.0,10.8,ACCEPTABLE
PCBA2_05.jpg,26,2170,275,94,6939.78,5,570,366,8.2135,5.2739,PASS,False,1.0,22.97,ACCEPTABLE
PCBA2_05.jpg,27,2323,275,94,6939.78,2,630,377,9.0781,5.4325,PASS,False,1.0,23.31,ACCEPTABLE
PCBA2_05.jpg,28,2474,275,94,6939.78,6,610,441,8.7899,6.3547,PASS,False,1.0,25.21,ACCEPTABLE
PCBA2_05.jpg,29,2624,275,94,6939.78,2,98,49,1.4121,0.7061,PASS,False,1.0,8.4,ACCEPTABLE
PCBA2_05.jpg,30,1565,276,90,6361.73,6,386,197,6.0675,3.0966,PASS,False,1.0,17.6,ACCEPTABLE
PCBA2_05.jpg,31,360,280,108,9160.88,3,420,317,4.5847,3.4604,PASS,False,1.0,18.6,ACCEPTABLE
PCBA2_05.jpg,32,510,280,104,8494.87,5,1140,627,13.4199,7.3809,REVIEW,False,1.0,27.17,PROCESS INDICATOR
PCBA2_05.jpg,33,2470,424,90,6361.73,2,810,613,12.7324,9.6358,REVIEW,False,1.0,31.04,PROCESS INDICATOR
PCBA2_05.jpg,34,2168,425,90,6361.73,3,243,113,3.8197,1.7762,PASS,False,1.0,13.33,ACCEPTABLE
PCBA2_05.jpg,35,2320,425,90,6361.73,4,704,377,11.0662,5.9261,REVIEW,False,1.0,24.34,PROCESS INDICATOR
PCBA2_05.jpg,36,1867,426,90,6361.73,4,578,197,9.0856,3.0966,PASS,False,1.0,17.6,ACCEPTABLE
PCBA2_05.jpg,37,2018,426,90,6361.73,3,544,253,8.5511,3.9769,PASS,False,1.0,19.94,ACCEPTABLE
PCBA2_05.jpg,38,1566,427,90,6361.73,8,601,270,9.4471,4.2441,PASS,False,1.0,20.6,ACCEPTABLE
PCBA2_05.jpg,39,1717,427,90,6361.73,5,450,253,7.0736,3.9769,PASS,False,1.0,19.94,ACCEPTABLE
PCBA2_05.jpg,40,512,428,98,7542.96,5,829,317,10.9904,4.2026,REVIEW,False,1.0,20.5,PROCESS INDICATOR
PCBA2_05.jpg,41,809,428,98,7542.96,5,421,149,5.5814,1.9754,PASS,False,1.0,14.05,ACCEPTABLE
PCBA2_05.jpg,42,1264,428,92,6647.61,5,385,149,5.7916,2.2414,PASS,False,1.0,14.97,ACCEPTABLE
PCBA2_05.jpg,43,1419,428,94,6939.78,9,321,81,4.6255,1.1672,PASS,False,1.0,10.8,ACCEPTABLE
PCBA2_05.jpg,44,2624,428,94,6939.78,3,138,60,1.9885,0.8646,PASS,False,1.0,9.3,ACCEPTABLE
PCBA2_05.jpg,45,1114,429,96,7238.23,3,118,49,1.6302,0.677,PASS,False,1.0,8.23,ACCEPTABLE
PCBA2_05.jpg,46,961,430,96,7238.23,3,118,55,1.6302,0.7599,PASS,False,1.0,8.72,ACCEPTABLE
PCBA2_05.jpg,47,657,431,90,6361.73,3,138,81,2.1692,1.2732,PASS,False,1.0,11.28,ACCEPTABLE
PCBA2_05.jpg,48,355,433,106,8824.73,4,878,709,9.9493,8.0342,PASS,False,1.0,28.34,ACCEPTABLE
PCBA2_05.jpg,49,2320,576,90,6361.73,5,637,317,10.013,4.9829,REVIEW,False,1.0,22.32,PROCESS INDICATOR
PCBA2_05.jpg,50,2019,577,90,6361.73,3,339,197,5.3287,3.0966,PASS,False,1.0,17.6,ACCEPTABLE
PCBA2_05.jpg,51,2169,577,90,6361.73,3,463,253,7.2779,3.9769,PASS,False,1.0,19.94,ACCEPTABLE
PCBA2_05.jpg,52,2471,577,90,6361.73,2,78,49,1.2261,0.7702,PASS,False,1.0,8.78,ACCEPTABLE
PCBA2_05.jpg,53,963,579,94,6939.78,6,295,81,4.2509,1.1672,PASS,False,1.0,10.8,ACCEPTABLE
PCBA2_05.jpg,54,512,580,100,7853.98,5,727,571,9.2565,7.2702,PASS,False,1.0,26.96,ACCEPTABLE
